ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
51,258,56,2025-02-25,LAL,,DAL,"W, 107-99",1,37:42,5,12,.417,3,8,.375,2,4,.500,.542,7,8,.875,0,3,3,5,0,0,1,2,20,15.8,16
52,259,57,2025-02-27,LAL,,MIN,"W, 111-102",1,38:02,5,10,.500,2,5,.400,3,5,.600,.600,11,12,.917,3,3,6,5,2,0,4,3,23,20.9,9
53,260,58,2025-02-28,LAL,,LAC,"W, 106-102",1,09:02,2,4,.500,2,4,.500,0,0,,.750,0,0,,0,0,0,0,0,1,0,0,6,4.7,-8
53,,59,2025-03-02,LAL,,LAC,"W, 108-102",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
53,,60,2025-03-04,LAL,,NOP,"W, 136-115",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
54,261,61,2025-03-06,LAL,,NYK,"W, 113-109 (OT)",1,31:59,2,13,.154,1,7,.143,1,6,.167,.192,3,4,.750,2,4,6,0,0,0,2,3,8,-1.3,-7
55,262,62,2025-03-08,LAL,@,BOS,"L, 101-111",1,38:34,5,12,.417,4,7,.571,1,5,.200,.583,2,2,1.000,1,2,3,2,1,0,1,0,16,12.3,-12
56,263,63,2025-03-10,LAL,@,BRK,"L, 108-111",1,36:02,3,14,.214,1,5,.200,2,9,.222,.250,10,11,.909,2,6,8,10,0,1,3,3,17,14.7,-10
57,264,64,2025-03-13,LAL,@,MIL,"L, 106-126",1,35:38,10,17,.588,4,7,.571,6,10,.600,.706,4,4,1.000,0,8,8,3,0,0,3,3,28,20.4,-6
58,265,65,2025-03-14,LAL,@,DEN,"L, 126-131",1,39:17,13,26,.500,4,10,.400,9,16,.563,.577,7,7,1.000,0,8,8,13,4,0,4,3,37,34.3,0
59,266,66,2025-03-16,LAL,,PHO,"W, 107-96",1,39:25,10,21,.476,4,10,.400,6,11,.545,.571,4,5,.800,0,4,4,6,2,1,2,1,28,22.6,14
60,267,67,2025-03-17,LAL,,SAS,"W, 125-109",1,36:10,12,21,.571,5,13,.385,7,8,.875,.690,1,1,1.000,0,7,7,6,2,0,2,0,30,26.4,18
61,268,68,2025-03-19,LAL,,DEN,"W, 120-108",1,36:07,8,16,.500,2,7,.286,6,9,.667,.563,4,4,1.000,0,5,5,8,2,1,1,2,22,22.0,13
61,,69,2025-03-20,LAL,,MIL,"L, 89-118",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
62,269,70,2025-03-22,LAL,,CHI,"L, 115-146",1,33:56,9,13,.692,3,7,.429,6,6,1.000,.808,4,4,1.000,1,1,2,5,0,0,2,0,25,22.0,-21
63,270,71,2025-03-24,LAL,@,ORL,"L, 106-118",1,35:39,7,16,.438,1,6,.167,6,10,.600,.469,3,4,.750,0,6,6,4,0,0,3,4,18,9.2,-7
64,271,72,2025-03-26,LAL,@,IND,"W, 120-119",1,36:12,8,16,.500,1,8,.125,7,8,.875,.531,7,7,1.000,1,3,4,5,1,0,4,3,24,16.9,6
65,272,73,2025-03-27,LAL,@,CHI,"L, 117-119",1,36:53,10,17,.588,3,9,.333,7,8,.875,.676,7,7,1.000,0,1,1,3,0,2,2,4,30,22.3,-10
66,273,74,2025-03-29,LAL,@,MEM,"W, 134-127",1,37:21,8,16,.500,5,8,.625,3,8,.375,.656,10,10,1.000,3,4,7,8,1,1,3,2,31,29.8,-5
67,274,75,2025-03-31,LAL,,HOU,"W, 104-98",1,38:57,5,11,.455,0,3,.000,5,8,.625,.455,2,2,1.000,1,7,8,3,2,0,1,1,12,11.8,8
68,275,76,2025-04-03,LAL,,GSW,"L, 116-123",1,40:03,10,20,.500,9,16,.563,1,4,.250,.725,2,3,.667,1,5,6,3,1,0,0,5,31,23.9,2
69,276,77,2025-04-04,LAL,,NOP,"W, 124-108",1,35:43,8,13,.615,6,9,.667,2,4,.500,.846,8,9,.889,1,2,3,7,1,0,1,1,30,29.5,17
70,277,78,2025-04-06,LAL,@,OKC,"W, 126-99",1,33:45,7,15,.467,4,8,.500,3,7,.429,.600,2,2,1.000,0,2,2,3,1,1,3,1,20,13.3,14
71,278,79,2025-04-08,LAL,@,OKC,"L, 120-136",1,38:22,6,12,.500,4,7,.571,2,5,.400,.667,8,12,.667,1,4,5,5,0,0,4,4,24,16.2,-19
72,279,80,2025-04-09,LAL,@,DAL,"W, 112-97",1,38:27,4,10,.400,1,5,.200,3,5,.600,.450,2,2,1.000,2,2,4,4,1,0,2,3,11,8.2,19
73,280,81,2025-04-11,LAL,,HOU,"W, 140-109",1,33:00,9,15,.600,3,6,.500,6,9,.667,.700,2,2,1.000,0,7,7,6,2,0,5,2,23,18.6,17
73,,82,2025-04-13,LAL,@,POR,"L, 81-109",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
