ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
31,309,36,2025-01-07,LAL,@,DAL,"L, 97-118",1,25:51,3,5,.600,0,2,.000,3,3,1.000,.600,0,0,,1,0,1,2,1,0,1,2,6,5.0,-8
32,310,37,2025-01-13,LAL,,SAS,"L, 102-126",1,29:34,3,6,.500,3,4,.750,0,2,.000,.750,0,0,,0,3,3,1,2,0,1,1,9,8.2,-16
33,311,38,2025-01-15,LAL,,MIA,"W, 117-108",1,33:16,9,15,.600,2,5,.400,7,10,.700,.667,3,4,.750,2,6,8,1,1,0,2,2,23,17.8,10
34,312,39,2025-01-17,LAL,,BRK,"W, 102-101",1,32:18,4,10,.400,1,4,.250,3,6,.500,.450,1,1,1.000,3,3,6,4,1,0,1,0,10,10.4,3
35,313,40,2025-01-19,LAL,@,LAC,"L, 102-116",1,33:08,9,14,.643,1,3,.333,8,11,.727,.679,0,1,.000,1,6,7,1,0,0,0,1,19,15.2,-13
36,314,41,2025-01-21,LAL,,WAS,"W, 111-88",1,26:21,4,10,.400,0,2,.000,4,8,.500,.400,1,2,.500,0,5,5,0,1,0,0,2,9,4.9,13
37,315,42,2025-01-23,LAL,,BOS,"W, 117-96",1,27:49,3,9,.333,2,5,.400,1,4,.250,.444,2,2,1.000,2,5,7,2,1,0,0,1,10,9.8,12
37,,43,2025-01-25,LAL,@,GSW,"W, 118-108",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
37,,44,2025-01-27,LAL,@,CHO,"W, 112-107",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
38,316,45,2025-01-28,LAL,@,PHI,"L, 104-118",1,24:04,6,9,.667,1,3,.333,5,6,.833,.722,0,0,,0,2,2,1,0,0,1,2,13,8.6,-8
39,317,46,2025-01-30,LAL,@,WAS,"W, 134-96",1,25:32,9,12,.750,4,5,.800,5,7,.714,.917,0,0,,0,4,4,0,1,1,1,1,22,18.7,21
40,318,47,2025-02-01,LAL,@,NYK,"W, 128-112",1,38:21,8,12,.667,3,6,.500,5,6,.833,.792,2,2,1.000,0,3,3,2,1,1,1,1,21,18.4,13
41,319,48,2025-02-04,LAL,@,LAC,"W, 122-97",1,33:56,7,14,.500,4,8,.500,3,6,.500,.643,2,2,1.000,2,4,6,2,0,0,0,3,20,15.8,15
42,320,49,2025-02-06,LAL,,GSW,"W, 120-112",1,38:43,4,9,.444,1,5,.200,3,4,.750,.500,2,4,.500,0,4,4,3,0,0,0,3,11,7.6,12
43,321,50,2025-02-08,LAL,,IND,"W, 124-117",1,33:06,8,13,.615,2,3,.667,6,10,.600,.692,6,6,1.000,1,8,9,0,1,0,1,3,24,20.0,4
44,322,51,2025-02-10,LAL,,UTA,"W, 132-113",1,29:07,8,14,.571,3,6,.500,5,8,.625,.679,2,2,1.000,2,4,6,0,2,0,1,4,21,16.4,16
45,323,52,2025-02-12,LAL,@,UTA,"L, 119-131",1,30:06,8,15,.533,3,5,.600,5,10,.500,.633,0,1,.000,0,3,3,1,0,0,1,0,19,11.9,-16
46,324,53,2025-02-19,LAL,,CHO,"L, 97-100",1,39:19,7,16,.438,1,8,.125,6,8,.750,.469,2,4,.500,2,6,8,3,1,0,1,1,17,12.7,-1
47,325,54,2025-02-20,LAL,@,POR,"W, 110-102",1,35:03,3,7,.429,0,3,.000,3,4,.750,.429,0,0,,4,8,12,1,0,1,1,2,6,7.1,0
48,326,55,2025-02-22,LAL,@,DEN,"W, 123-100",1,35:47,7,12,.583,4,9,.444,3,3,1.000,.750,3,4,.750,0,0,0,4,1,0,0,2,21,18.0,14
49,327,56,2025-02-25,LAL,,DAL,"W, 107-99",1,38:26,6,12,.500,2,6,.333,4,6,.667,.583,1,2,.500,1,5,6,0,0,2,1,1,15,10.8,19
50,328,57,2025-02-27,LAL,,MIN,"W, 111-102",1,18:27,2,6,.333,1,4,.250,1,2,.500,.417,0,0,,1,2,3,2,0,0,0,0,5,4.3,21
50,,58,2025-02-28,LAL,,LAC,"W, 106-102",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
50,,59,2025-03-02,LAL,,LAC,"W, 108-102",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
50,,60,2025-03-04,LAL,,NOP,"W, 136-115",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
50,,61,2025-03-06,LAL,,NYK,"W, 113-109 (OT)",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
50,,62,2025-03-08,LAL,@,BOS,"L, 101-111",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
50,,63,2025-03-10,LAL,@,BRK,"L, 108-111",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
50,,64,2025-03-13,LAL,@,MIL,"L, 106-126",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
50,,65,2025-03-14,LAL,@,DEN,"L, 126-131",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
50,,66,2025-03-16,LAL,,PHO,"W, 107-96",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
50,,67,2025-03-17,LAL,,SAS,"W, 125-109",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
50,,68,2025-03-19,LAL,,DEN,"W, 120-108",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
50,,69,2025-03-20,LAL,,MIL,"L, 89-118",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
51,329,70,2025-03-22,LAL,,CHI,"L, 115-146",0,17:55,2,6,.333,1,4,.250,1,2,.500,.417,0,0,,0,2,2,0,1,0,0,0,5,3.2,-4
52,330,71,2025-03-24,LAL,@,ORL,"L, 106-118",0,23:59,2,4,.500,0,2,.000,2,2,1.000,.500,1,2,.500,1,2,3,0,1,0,1,1,5,3.5,-1
53,331,72,2025-03-26,LAL,@,IND,"W, 120-119",1,27:53,4,5,.800,4,4,1.000,0,1,.000,1.200,2,2,1.000,0,4,4,1,0,0,1,2,14,12.2,-2
53,,73,2025-03-27,LAL,@,CHI,"L, 117-119",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
54,332,74,2025-03-29,LAL,@,MEM,"W, 134-127",1,28:28,5,8,.625,3,5,.600,2,3,.667,.813,0,0,,0,3,3,0,0,1,0,1,13,10.6,-3
55,333,75,2025-03-31,LAL,,HOU,"W, 104-98",1,30:48,3,10,.300,1,6,.167,2,4,.500,.350,0,0,,0,2,2,0,2,0,0,1,7,3.4,0
56,334,76,2025-04-03,LAL,,GSW,"L, 116-123",1,33:43,9,15,.600,3,6,.500,6,9,.667,.700,3,4,.750,3,3,6,3,0,0,1,2,24,20.0,-1
56,,77,2025-04-04,LAL,,NOP,"W, 124-108",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
57,335,78,2025-04-06,LAL,@,OKC,"W, 126-99",1,31:40,4,10,.400,2,6,.333,2,4,.500,.500,1,1,1.000,2,5,7,1,0,1,1,3,11,7.7,8
57,,79,2025-04-08,LAL,@,OKC,"L, 120-136",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
58,336,80,2025-04-09,LAL,@,DAL,"W, 112-97",1,37:30,5,10,.500,3,7,.429,2,3,.667,.650,2,2,1.000,0,2,2,2,1,0,1,2,15,11.2,21
59,337,81,2025-04-11,LAL,,HOU,"W, 140-109",1,31:59,6,8,.750,1,2,.500,5,6,.833,.813,3,4,.750,0,5,5,1,0,0,0,2,16,13.8,15
59,,82,2025-04-13,LAL,@,POR,"L, 81-109",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
