date,pts,blk,ast,stl,tov,fg3,fg,ft,is_playoff,reb
2024-04-27,21.0,0.0,5.0,2.0,3.0,3.0,9.0,0.0,1.3,9.0
2024-04-29,24.0,1.0,4.0,2.0,3.0,2.0,9.0,4.0,1.3,8.0
2024-05-07,18.0,1.0,5.0,0.0,1.0,2.0,6.0,4.0,1.3,5.0
2024-05-09,20.0,1.0,4.0,1.0,1.0,2.0,7.0,4.0,1.3,4.0
2024-05-11,16.0,1.0,8.0,0.0,3.0,1.0,7.0,1.0,1.3,6.0
2024-05-13,14.0,0.0,6.0,4.0,2.0,0.0,5.0,4.0,1.3,9.0
2024-05-15,12.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,1.3,6.0
2024-05-18,22.0,1.0,8.0,2.0,0.0,3.0,8.0,3.0,1.3,9.0
2024-10-24,12.0,2.0,3.0,0.0,5.0,2.0,5.0,0.0,1.0,3.0
2024-10-26,24.0,0.0,8.0,0.0,2.0,1.0,10.0,3.0,1.0,9.0
2024-10-27,20.0,0.0,5.0,2.0,0.0,0.0,8.0,4.0,1.0,9.0
2024-10-30,12.0,1.0,8.0,4.0,1.0,1.0,5.0,1.0,1.0,7.0
2024-11-01,22.0,0.0,4.0,4.0,3.0,4.0,8.0,2.0,1.0,5.0
2024-11-02,15.0,0.0,4.0,2.0,4.0,3.0,5.0,2.0,1.0,7.0
2024-11-04,23.0,1.0,1.0,3.0,1.0,3.0,10.0,0.0,1.0,4.0
2024-11-06,29.0,0.0,9.0,3.0,1.0,4.0,11.0,3.0,1.0,10.0
2024-11-08,14.0,1.0,3.0,0.0,3.0,0.0,7.0,0.0,1.0,5.0
2024-11-10,20.0,4.0,4.0,1.0,4.0,0.0,9.0,2.0,1.0,3.0
2024-11-11,28.0,0.0,6.0,2.0,2.0,2.0,11.0,4.0,1.0,8.0
2024-11-13,31.0,2.0,7.0,4.0,2.0,4.0,10.0,7.0,1.0,6.0
2024-11-15,14.0,2.0,3.0,2.0,1.0,0.0,6.0,2.0,1.0,8.0
2024-11-17,27.0,1.0,5.0,1.0,1.0,3.0,11.0,2.0,1.0,5.0
2024-11-19,27.0,0.0,5.0,5.0,1.0,0.0,13.0,1.0,1.0,10.0
2024-11-20,30.0,2.0,8.0,2.0,3.0,5.0,11.0,3.0,1.0,7.0
2024-11-25,28.0,1.0,5.0,2.0,5.0,3.0,10.0,5.0,1.0,4.0
2024-11-27,13.0,1.0,7.0,2.0,2.0,2.0,3.0,5.0,1.0,6.0
2024-11-29,19.0,0.0,2.0,2.0,3.0,2.0,8.0,1.0,1.0,4.0
2024-12-01,22.0,1.0,7.0,1.0,1.0,2.0,7.0,6.0,1.0,5.0
2024-12-03,28.0,0.0,5.0,3.0,0.0,1.0,12.0,3.0,1.0,2.0
2024-12-05,20.0,0.0,2.0,0.0,0.0,2.0,6.0,6.0,1.0,7.0
2024-12-07,27.0,0.0,5.0,4.0,4.0,4.0,10.0,3.0,1.0,6.0
2024-12-10,18.0,1.0,4.0,0.0,4.0,0.0,8.0,2.0,1.0,7.0
2024-12-14,20.0,0.0,5.0,1.0,3.0,2.0,8.0,2.0,1.0,5.0
2024-12-19,11.0,0.0,7.0,0.0,3.0,1.0,5.0,0.0,1.0,1.0
2024-12-20,33.0,1.0,4.0,0.0,4.0,4.0,12.0,5.0,1.0,6.0
2024-12-23,17.0,0.0,4.0,1.0,2.0,0.0,7.0,3.0,1.0,7.0
2024-12-26,20.0,0.0,5.0,0.0,2.0,2.0,8.0,2.0,1.0,4.0
2024-12-28,20.0,0.0,6.0,1.0,1.0,1.0,8.0,3.0,1.0,3.0
2024-12-29,14.0,1.0,8.0,2.0,2.0,0.0,7.0,0.0,1.0,10.0
2024-12-31,14.0,0.0,7.0,3.0,3.0,1.0,6.0,1.0,1.0,7.0
2025-01-02,18.0,1.0,4.0,2.0,2.0,1.0,8.0,1.0,1.0,3.0
2025-01-03,20.0,1.0,5.0,2.0,0.0,1.0,8.0,3.0,1.0,4.0
2025-01-05,10.0,0.0,5.0,1.0,4.0,1.0,3.0,3.0,1.0,6.0
2025-01-08,25.0,1.0,9.0,3.0,3.0,2.0,9.0,5.0,1.0,5.0
2025-01-10,19.0,2.0,5.0,1.0,1.0,0.0,8.0,3.0,1.0,4.0
2025-01-12,17.0,0.0,2.0,0.0,3.0,1.0,4.0,8.0,1.0,6.0
2025-01-14,24.0,1.0,6.0,3.0,4.0,2.0,8.0,6.0,1.0,4.0
2025-01-16,19.0,2.0,5.0,3.0,0.0,1.0,8.0,2.0,1.0,6.0
2025-01-17,19.0,0.0,6.0,0.0,6.0,1.0,7.0,4.0,1.0,5.0
2025-01-22,25.0,0.0,2.0,2.0,2.0,1.0,9.0,6.0,1.0,3.0
2025-01-23,33.0,1.0,7.0,4.0,3.0,4.0,11.0,7.0,1.0,4.0
2025-01-26,24.0,2.0,8.0,1.0,0.0,2.0,7.0,8.0,1.0,4.0
2025-01-29,26.0,1.0,2.0,2.0,1.0,2.0,12.0,0.0,1.0,7.0
2025-02-05,13.0,0.0,4.0,2.0,0.0,1.0,6.0,0.0,1.0,3.0
2025-02-07,27.0,0.0,4.0,0.0,3.0,1.0,9.0,8.0,1.0,5.0
2025-02-08,25.0,1.0,6.0,1.0,4.0,1.0,12.0,0.0,1.0,6.0
2025-02-10,16.0,0.0,5.0,2.0,2.0,3.0,6.0,1.0,1.0,5.0
2025-02-12,18.0,0.0,3.0,1.0,2.0,1.0,7.0,3.0,1.0,6.0
2025-02-13,20.0,1.0,5.0,1.0,1.0,0.0,8.0,4.0,1.0,3.0
2025-02-21,18.0,1.0,4.0,2.0,2.0,4.0,6.0,2.0,1.0,9.0
2025-02-23,18.0,1.0,9.0,3.0,3.0,3.0,6.0,3.0,1.0,3.0
2025-02-24,27.0,1.0,6.0,1.0,3.0,2.0,10.0,5.0,1.0,6.0
2025-02-26,22.0,1.0,4.0,0.0,2.0,1.0,8.0,5.0,1.0,5.0
2025-02-28,20.0,0.0,8.0,1.0,3.0,4.0,6.0,4.0,1.0,5.0
2025-03-02,41.0,1.0,6.0,1.0,0.0,4.0,15.0,7.0,1.0,6.0
2025-03-03,24.0,1.0,3.0,1.0,1.0,4.0,8.0,4.0,1.0,4.0
2025-03-05,20.0,1.0,9.0,2.0,4.0,1.0,7.0,5.0,1.0,5.0
2025-03-09,26.0,1.0,8.0,2.0,1.0,2.0,7.0,10.0,1.0,9.0
2025-03-10,12.0,0.0,6.0,0.0,1.0,1.0,5.0,1.0,1.0,2.0
2025-03-27,20.0,0.0,4.0,0.0,4.0,1.0,6.0,7.0,1.0,5.0
2025-03-29,18.0,0.0,6.0,0.0,2.0,0.0,7.0,4.0,1.0,2.0
2025-03-31,23.0,0.0,3.0,2.0,3.0,4.0,9.0,1.0,1.0,4.0
2025-04-02,23.0,1.0,3.0,0.0,2.0,2.0,9.0,3.0,1.0,5.0
2025-04-04,33.0,1.0,4.0,2.0,2.0,2.0,13.0,5.0,1.0,3.0
2025-04-06,16.0,0.0,3.0,3.0,0.0,1.0,4.0,7.0,1.0,6.0
2025-04-08,26.0,0.0,4.0,0.0,1.0,1.0,11.0,3.0,1.0,4.0
2025-04-09,33.0,0.0,5.0,3.0,2.0,2.0,13.0,5.0,1.0,7.0
2025-04-20,20.0,1.0,6.0,3.0,2.0,0.0,10.0,0.0,1.3,5.0
2025-04-22,24.0,0.0,5.0,1.0,1.0,2.0,10.0,2.0,1.3,6.0
2025-04-24,26.0,1.0,5.0,2.0,2.0,2.0,9.0,6.0,1.3,6.0
2025-04-26,23.0,0.0,5.0,0.0,1.0,2.0,10.0,1.0,1.3,4.0
2025-05-05,16.0,2.0,4.0,2.0,1.0,2.0,5.0,4.0,1.3,7.0
2025-05-07,17.0,2.0,7.0,0.0,1.0,0.0,6.0,5.0,1.3,4.0
2025-05-09,32.0,0.0,5.0,0.0,3.0,3.0,11.0,7.0,1.3,3.0
2025-05-11,10.0,1.0,5.0,3.0,1.0,0.0,2.0,6.0,1.3,3.0
2025-05-13,18.0,0.0,4.0,1.0,0.0,2.0,5.0,6.0,1.3,9.0
2025-05-15,6.0,1.0,10.0,3.0,3.0,0.0,3.0,0.0,1.3,7.0
2025-05-18,24.0,0.0,7.0,1.0,1.0,2.0,10.0,2.0,1.3,5.0
2025-05-20,19.0,0.0,5.0,5.0,0.0,1.0,7.0,4.0,1.3,8.0
2025-05-22,26.0,0.0,5.0,1.0,0.0,2.0,12.0,0.0,1.3,10.0
2025-05-24,13.0,0.0,2.0,0.0,4.0,2.0,3.0,5.0,1.3,4.0
2025-05-26,34.0,0.0,5.0,3.0,2.0,6.0,13.0,2.0,1.3,3.0
2025-05-28,19.0,1.0,5.0,1.0,4.0,1.0,7.0,4.0,1.3,8.0
