date,pts,blk,ast,stl,tov,fg3,fg,ft,is_playoff,reb
2024-03-18,9.0,0.0,4.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0
2024-03-20,7.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0
2024-03-22,17.0,0.0,5.0,0.0,3.0,1.0,7.0,2.0,1.0,5.0
2024-03-24,15.0,0.0,5.0,1.0,0.0,1.0,7.0,0.0,1.0,3.0
2024-03-25,9.0,0.0,2.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0
2024-03-27,18.0,0.0,2.0,2.0,1.0,3.0,7.0,1.0,1.0,5.0
2024-03-29,10.0,0.0,2.0,1.0,0.0,2.0,4.0,0.0,1.0,2.0
2024-04-01,7.0,0.0,6.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0
2024-04-03,8.0,0.0,3.0,1.0,2.0,0.0,3.0,2.0,1.0,2.0
2024-04-05,3.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0
2024-04-07,10.0,0.0,2.0,3.0,0.0,0.0,5.0,0.0,1.0,2.0
2024-04-09,8.0,1.0,8.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0
2024-04-12,10.0,0.0,5.0,0.0,2.0,0.0,3.0,4.0,1.0,2.0
2024-04-14,10.0,0.0,5.0,1.0,1.0,2.0,4.0,0.0,1.0,2.0
2024-04-21,6.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,1.3,0.0
2024-04-23,20.0,0.0,3.0,0.0,0.0,1.0,8.0,3.0,1.3,4.0
2024-04-26,16.0,0.0,4.0,0.0,1.0,3.0,6.0,1.0,1.3,5.0
2024-04-28,15.0,0.0,9.0,0.0,0.0,3.0,6.0,0.0,1.3,3.0
2024-04-30,12.0,0.0,5.0,1.0,3.0,0.0,6.0,0.0,1.3,3.0
2024-05-02,14.0,1.0,4.0,2.0,1.0,1.0,6.0,1.0,1.3,5.0
2024-05-06,11.0,0.0,4.0,0.0,0.0,1.0,4.0,2.0,1.3,2.0
2024-05-08,15.0,0.0,4.0,0.0,1.0,1.0,7.0,0.0,1.3,0.0
2024-05-10,5.0,0.0,6.0,0.0,2.0,1.0,2.0,0.0,1.3,5.0
2024-05-12,9.0,0.0,5.0,0.0,2.0,1.0,4.0,0.0,1.3,1.0
2024-05-14,11.0,1.0,4.0,0.0,2.0,2.0,4.0,1.0,1.3,2.0
2024-05-17,15.0,1.0,6.0,0.0,0.0,3.0,6.0,0.0,1.3,6.0
2024-05-19,20.0,0.0,6.0,1.0,4.0,1.0,8.0,3.0,1.3,5.0
2024-05-21,12.0,0.0,7.0,0.0,1.0,2.0,5.0,0.0,1.3,3.0
2024-05-23,16.0,0.0,5.0,1.0,1.0,1.0,6.0,3.0,1.3,2.0
2024-05-25,32.0,0.0,9.0,0.0,2.0,4.0,12.0,4.0,1.3,4.0
2024-05-27,24.0,1.0,10.0,1.0,3.0,3.0,10.0,1.0,1.3,6.0
2024-10-23,8.0,0.0,7.0,1.0,2.0,0.0,3.0,2.0,1.0,2.0
2024-10-25,2.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,2.0
2024-10-27,10.0,0.0,8.0,0.0,1.0,1.0,3.0,3.0,1.0,2.0
2024-10-28,13.0,0.0,7.0,1.0,2.0,0.0,6.0,1.0,1.0,3.0
2024-10-30,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
2024-11-04,11.0,0.0,3.0,0.0,0.0,1.0,4.0,2.0,1.0,3.0
2024-11-06,5.0,0.0,5.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0
2024-12-01,14.0,0.0,4.0,2.0,0.0,2.0,6.0,0.0,1.0,2.0
2024-12-03,6.0,0.0,4.0,1.0,2.0,0.0,1.0,4.0,1.0,0.0
2024-12-06,8.0,0.0,4.0,2.0,1.0,0.0,4.0,0.0,1.0,6.0
2024-12-08,10.0,0.0,3.0,1.0,4.0,2.0,3.0,2.0,1.0,4.0
2024-12-13,5.0,0.0,7.0,0.0,1.0,0.0,2.0,1.0,1.0,4.0
2024-12-15,17.0,0.0,7.0,0.0,5.0,0.0,5.0,7.0,1.0,2.0
2024-12-19,19.0,0.0,4.0,1.0,0.0,2.0,6.0,5.0,1.0,1.0
2024-12-22,12.0,1.0,4.0,1.0,2.0,2.0,5.0,0.0,1.0,1.0
2024-12-23,15.0,0.0,3.0,0.0,4.0,1.0,6.0,2.0,1.0,4.0
2024-12-26,23.0,1.0,7.0,0.0,2.0,1.0,9.0,4.0,1.0,9.0
2024-12-29,17.0,1.0,8.0,0.0,2.0,1.0,6.0,4.0,1.0,8.0
2024-12-31,10.0,0.0,3.0,0.0,2.0,2.0,4.0,0.0,1.0,2.0
2025-01-02,6.0,0.0,6.0,1.0,0.0,0.0,3.0,0.0,1.0,6.0
2025-01-04,9.0,0.0,7.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0
2025-01-06,8.0,0.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,5.0
2025-01-08,14.0,0.0,5.0,2.0,2.0,0.0,5.0,4.0,1.0,6.0
