ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
25,,56,2025-02-25,LAL,,DAL,"W, 107-99",Inactive,,,,,,,,,,,,,,,,,,,,,,,,
25,,57,2025-02-27,LAL,,MIN,"W, 111-102",Inactive,,,,,,,,,,,,,,,,,,,,,,,,
26,51,58,2025-02-28,LAL,,LAC,"W, 106-102",0,22:00,2,3,.667,0,0,2,3,.667,.667,1,2,.500,1,5,6,0,0,1,0,2,5,5.4,19
27,52,59,2025-03-02,LAL,,LAC,"W, 108-102",0,18:16,1,2,.500,0,0,1,2,.500,.500,1,2,.500,1,1,2,0,0,0,0,5,3,0.6,-2
28,53,60,2025-03-04,LAL,,NOP,"W, 136-115",0,16:59,2,2,1.000,0,0,2,2,1.000,1.000,0,0,,3,2,5,2,0,0,0,2,4,6.7,7
29,54,61,2025-03-06,LAL,,NYK,"W, 113-109 (OT)",0,13:25,3,4,.750,0,0,3,4,.750,.750,1,2,.500,1,3,4,0,0,0,2,4,7,3.0,-2
30,55,62,2025-03-08,LAL,@,BOS,"L, 101-111",0,05:50,0,1,.000,0,0,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,5
31,56,63,2025-03-10,LAL,@,BRK,"L, 108-111",0,17:37,1,3,.333,0,0,1,3,.333,.333,0,0,,1,2,3,0,0,2,1,4,2,0.4,1
31,,64,2025-03-13,LAL,@,MIL,"L, 106-126",Inactive,,,,,,,,,,,,,,,,,,,,,,,,
31,,65,2025-03-14,LAL,@,DEN,"L, 126-131",Inactive,,,,,,,,,,,,,,,,,,,,,,,,
31,,66,2025-03-16,LAL,,PHO,"W, 107-96",Inactive,,,,,,,,,,,,,,,,,,,,,,,,
31,,67,2025-03-17,LAL,,SAS,"W, 125-109",Inactive,,,,,,,,,,,,,,,,,,,,,,,,
31,,68,2025-03-19,LAL,,DEN,"W, 120-108",Inactive,,,,,,,,,,,,,,,,,,,,,,,,
32,57,69,2025-03-20,LAL,,MIL,"L, 89-118",0,16:19,2,3,.667,0,0,2,3,.667,.667,0,0,,2,3,5,0,0,0,1,1,4,3.6,-19
32,,70,2025-03-22,LAL,,CHI,"L, 115-146",Inactive,,,,,,,,,,,,,,,,,,,,,,,,
33,58,71,2025-03-24,LAL,@,ORL,"L, 106-118",0,00:35,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
33,,72,2025-03-26,LAL,@,IND,"W, 120-119",Inactive,,,,,,,,,,,,,,,,,,,,,,,,
33,,73,2025-03-27,LAL,@,CHI,"L, 117-119",Inactive,,,,,,,,,,,,,,,,,,,,,,,,
33,,74,2025-03-29,LAL,@,MEM,"W, 134-127",Inactive,,,,,,,,,,,,,,,,,,,,,,,,
33,,75,2025-03-31,LAL,,HOU,"W, 104-98",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,
33,,76,2025-04-03,LAL,,GSW,"L, 116-123",Inactive,,,,,,,,,,,,,,,,,,,,,,,,
34,59,77,2025-04-04,LAL,,NOP,"W, 124-108",0,04:58,0,0,,0,0,0,0,,,0,0,,0,1,1,0,1,0,1,1,0,-0.1,-2
34,,78,2025-04-06,LAL,@,OKC,"W, 126-99",Inactive,,,,,,,,,,,,,,,,,,,,,,,,
35,60,79,2025-04-08,LAL,@,OKC,"L, 120-136",0,01:47,1,1,1.000,0,0,1,1,1.000,1.000,0,0,,1,0,1,0,0,0,0,0,2,2.4,1
36,61,80,2025-04-09,LAL,@,DAL,"W, 112-97",0,01:35,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
37,62,81,2025-04-11,LAL,,HOU,"W, 140-109",0,03:57,1,1,1.000,0,0,1,1,1.000,1.000,0,0,,1,2,3,1,0,0,0,0,2,3.7,8
38,63,82,2025-04-13,LAL,@,POR,"L, 81-109",0,25:15,1,2,.500,0,0,1,2,.500,.500,1,2,.500,4,4,8,1,0,1,5,4,3,0.4,-13
