date,pts,blk,ast,stl,tov,fg3,fg,ft,is_playoff,reb
2024-11-01,30.0,0.0,6.0,1.0,3.0,1.0,12.0,5.0,1.0,7.0
2024-11-02,25.0,1.0,9.0,0.0,3.0,2.0,7.0,9.0,1.0,3.0
2024-11-04,21.0,0.0,9.0,1.0,4.0,1.0,8.0,4.0,1.0,6.0
2024-11-06,28.0,1.0,6.0,1.0,8.0,0.0,10.0,8.0,1.0,2.0
2024-11-08,29.0,1.0,4.0,1.0,3.0,1.0,11.0,6.0,1.0,5.0
2024-11-10,24.0,1.0,4.0,0.0,4.0,0.0,6.0,12.0,1.0,5.0
2024-11-11,45.0,2.0,9.0,5.0,1.0,4.0,13.0,15.0,1.0,3.0
2024-11-13,29.0,2.0,5.0,2.0,2.0,3.0,12.0,2.0,1.0,5.0
2024-11-15,28.0,1.0,4.0,0.0,2.0,2.0,11.0,4.0,1.0,6.0
2024-11-17,36.0,2.0,8.0,2.0,1.0,1.0,13.0,9.0,1.0,2.0
2024-11-19,32.0,0.0,8.0,3.0,4.0,5.0,11.0,5.0,1.0,3.0
2024-11-20,28.0,1.0,4.0,3.0,2.0,0.0,7.0,14.0,1.0,5.0
2024-11-25,37.0,0.0,11.0,0.0,6.0,4.0,13.0,7.0,1.0,4.0
2024-11-27,35.0,2.0,5.0,1.0,3.0,3.0,13.0,6.0,1.0,9.0
2024-11-29,36.0,1.0,9.0,2.0,3.0,3.0,13.0,7.0,1.0,6.0
2024-12-01,32.0,0.0,5.0,2.0,2.0,3.0,10.0,9.0,1.0,8.0
2024-12-03,26.0,0.0,7.0,3.0,0.0,2.0,11.0,2.0,1.0,6.0
2024-12-05,30.0,2.0,5.0,2.0,2.0,1.0,11.0,7.0,1.0,4.0
2024-12-07,31.0,0.0,4.0,0.0,4.0,1.0,10.0,10.0,1.0,2.0
2024-12-10,39.0,1.0,5.0,3.0,2.0,5.0,15.0,4.0,1.0,8.0
2024-12-14,32.0,1.0,6.0,5.0,1.0,2.0,8.0,14.0,1.0,8.0
2024-12-19,35.0,2.0,6.0,4.0,4.0,1.0,15.0,4.0,1.0,4.0
2024-12-20,25.0,0.0,4.0,2.0,3.0,3.0,10.0,2.0,1.0,7.0
2024-12-23,41.0,3.0,3.0,3.0,3.0,3.0,14.0,10.0,1.0,9.0
2024-12-26,45.0,2.0,8.0,1.0,1.0,4.0,15.0,11.0,1.0,7.0
2024-12-28,22.0,1.0,6.0,2.0,6.0,1.0,8.0,5.0,1.0,4.0
2024-12-29,35.0,4.0,7.0,1.0,1.0,1.0,14.0,6.0,1.0,6.0
2024-12-31,40.0,0.0,2.0,4.0,3.0,3.0,15.0,7.0,1.0,3.0
2025-01-02,29.0,0.0,8.0,2.0,1.0,2.0,9.0,9.0,1.0,3.0
2025-01-03,33.0,1.0,7.0,1.0,2.0,2.0,12.0,7.0,1.0,4.0
2025-01-05,33.0,2.0,6.0,3.0,3.0,3.0,11.0,8.0,1.0,11.0
2025-01-08,31.0,2.0,4.0,3.0,5.0,1.0,13.0,4.0,1.0,5.0
2025-01-10,39.0,1.0,2.0,2.0,2.0,1.0,15.0,8.0,1.0,3.0
2025-01-12,27.0,0.0,4.0,2.0,3.0,1.0,5.0,16.0,1.0,7.0
2025-01-14,32.0,1.0,9.0,2.0,4.0,1.0,12.0,7.0,1.0,3.0
2025-01-16,40.0,0.0,8.0,2.0,2.0,1.0,17.0,5.0,1.0,3.0
2025-01-19,27.0,1.0,10.0,4.0,2.0,1.0,8.0,10.0,1.0,3.0
2025-01-22,54.0,2.0,5.0,3.0,3.0,3.0,17.0,17.0,1.0,8.0
2025-01-23,31.0,0.0,7.0,0.0,3.0,1.0,12.0,6.0,1.0,1.0
2025-01-26,35.0,0.0,1.0,3.0,2.0,2.0,12.0,9.0,1.0,5.0
2025-01-29,52.0,0.0,4.0,1.0,3.0,2.0,16.0,18.0,1.0,3.0
2025-02-01,29.0,2.0,9.0,0.0,4.0,1.0,10.0,8.0,1.0,6.0
2025-02-03,34.0,0.0,6.0,0.0,3.0,2.0,15.0,2.0,1.0,3.0
2025-02-05,50.0,1.0,5.0,2.0,1.0,3.0,18.0,11.0,1.0,8.0
2025-02-07,25.0,0.0,6.0,1.0,2.0,1.0,5.0,14.0,1.0,4.0
2025-02-08,32.0,2.0,8.0,0.0,0.0,3.0,8.0,13.0,1.0,0.0
2025-02-10,31.0,1.0,2.0,3.0,1.0,4.0,10.0,7.0,1.0,1.0
2025-02-12,32.0,0.0,9.0,2.0,1.0,4.0,11.0,6.0,1.0,5.0
2025-02-13,24.0,0.0,9.0,0.0,1.0,1.0,6.0,11.0,1.0,8.0
2025-02-21,21.0,3.0,8.0,1.0,3.0,1.0,7.0,6.0,1.0,2.0
2025-02-23,37.0,3.0,8.0,3.0,5.0,3.0,13.0,8.0,1.0,8.0
2025-02-24,39.0,0.0,8.0,0.0,4.0,3.0,11.0,14.0,1.0,10.0
2025-02-26,27.0,0.0,5.0,2.0,3.0,1.0,7.0,12.0,1.0,6.0
2025-02-28,31.0,0.0,5.0,2.0,1.0,3.0,12.0,4.0,1.0,3.0
2025-03-02,31.0,2.0,8.0,1.0,0.0,3.0,10.0,8.0,1.0,4.0
2025-03-03,51.0,1.0,7.0,1.0,2.0,5.0,18.0,10.0,1.0,5.0
2025-03-05,41.0,0.0,8.0,2.0,4.0,3.0,14.0,10.0,1.0,2.0
2025-03-09,40.0,3.0,5.0,0.0,1.0,2.0,15.0,8.0,1.0,8.0
2025-03-10,25.0,2.0,7.0,1.0,3.0,3.0,8.0,6.0,1.0,3.0
2025-03-12,34.0,0.0,7.0,1.0,5.0,2.0,11.0,10.0,1.0,5.0
2025-03-15,48.0,1.0,6.0,3.0,2.0,4.0,17.0,10.0,1.0,4.0
2025-03-16,31.0,1.0,8.0,0.0,1.0,0.0,11.0,9.0,1.0,2.0
2025-03-21,30.0,0.0,9.0,1.0,1.0,2.0,13.0,2.0,1.0,6.0
2025-03-23,26.0,2.0,8.0,2.0,1.0,1.0,7.0,11.0,1.0,3.0
2025-03-25,32.0,0.0,5.0,0.0,5.0,3.0,10.0,9.0,1.0,8.0
2025-03-27,37.0,0.0,6.0,3.0,0.0,0.0,15.0,7.0,1.0,3.0
2025-03-29,33.0,0.0,8.0,1.0,0.0,3.0,10.0,10.0,1.0,7.0
2025-03-31,27.0,2.0,12.0,0.0,2.0,2.0,9.0,7.0,1.0,0.0
2025-04-02,33.0,2.0,3.0,3.0,1.0,2.0,10.0,11.0,1.0,6.0
2025-04-04,22.0,0.0,8.0,3.0,3.0,1.0,10.0,1.0,1.0,4.0
2025-04-06,26.0,1.0,9.0,1.0,1.0,2.0,12.0,0.0,1.0,3.0
2025-04-08,42.0,1.0,6.0,0.0,1.0,5.0,14.0,9.0,1.0,6.0
2025-04-20,15.0,2.0,5.0,0.0,2.0,1.0,4.0,6.0,1.3,3.0
2025-04-22,27.0,0.0,5.0,2.0,2.0,3.0,10.0,4.0,1.3,8.0
2025-04-24,31.0,1.0,8.0,1.0,3.0,2.0,10.0,9.0,1.3,4.0
2025-04-26,38.0,1.0,6.0,2.0,1.0,1.0,13.0,11.0,1.3,5.0
2025-05-05,33.0,1.0,8.0,2.0,1.0,2.0,12.0,7.0,1.3,10.0
2025-05-07,34.0,0.0,8.0,0.0,2.0,1.0,11.0,11.0,1.3,4.0
2025-05-09,18.0,0.0,7.0,2.0,1.0,1.0,7.0,3.0,1.3,13.0
2025-05-11,25.0,0.0,6.0,2.0,3.0,0.0,8.0,9.0,1.3,6.0
2025-05-13,31.0,2.0,7.0,2.0,5.0,1.0,12.0,6.0,1.3,6.0
2025-05-15,32.0,0.0,6.0,0.0,2.0,2.0,11.0,8.0,1.3,3.0
